,Start Date,Storm Name,Duration (hrs),Integrated Seafloor Stress (Pa h),Max Seafloor Stress (Pa),Avg. Bottom Orbital Vel. (m/s),Avg. SWH (m),Avg. Peak Period (s)
1,09-22-2015,Hur. Joaquin,388,181.06794117115732,2.56,0.23,2.81,10.69
2,03-01-2018,Nor'easter,183,163.5179978462449,2.75,0.34,3.42,12.73
3,11-16-2019,Unknown,109,145.38439108895193,3.43,0.43,4.12,12.53
4,04-12-2014,Unknown,241,137.42469683417312,2.0,0.33,3.67,10.53
5,09-19-2020,Hur. Paulette,135,132.16979671909297,2.0,0.37,3.45,13.29
6,09-21-2017,Hur. Maria,168,127.99816917547591,2.94,0.3,2.94,12.37
7,09-12-2018,Hur. Florence,131,119.68910589035896,3.55,0.33,3.56,10.8
8,01-03-2014,N.A Blizzard,550,108.47830180033435,0.85,0.2,2.49,11.2
9,09-16-2010,Hur. Igor,170,107.42948959851589,2.13,0.28,2.41,13.49
10,01-21-2010,Unknown,133,100.60866610924128,3.83,0.3,3.55,10.82
